[16:29:13.657] Namespace(data='colon', save_dir='./implementation/colon/small', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_small.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='small')
[17:57:39.456] epoch: 0/200, iter: 202/479: loss:0.6315: rank:-1
[17:58:06.791] epoch: 0/200, iter: 203/479: loss:0.5309: rank:-1
[17:58:33.905] epoch: 0/200, iter: 204/479: loss:0.5388: rank:-1
[17:59:00.977] epoch: 0/200, iter: 205/479: loss:0.4881: rank:-1
[17:59:28.077] epoch: 0/200, iter: 206/479: loss:0.39: rank:-1
[17:59:54.914] epoch: 0/200, iter: 207/479: loss:0.7722: rank:-1
[18:00:21.663] epoch: 0/200, iter: 208/479: loss:0.5419: rank:-1
[18:00:48.878] epoch: 0/200, iter: 209/479: loss:0.3993: rank:-1
[18:01:16.371] epoch: 0/200, iter: 210/479: loss:1.0331: rank:-1
[18:01:43.624] epoch: 0/200, iter: 211/479: loss:0.6294: rank:-1
[18:02:11.088] epoch: 0/200, iter: 212/479: loss:0.5619: rank:-1
[18:02:14.200] epoch: 0/200, iter: 213/479: loss:0.7812: rank:-1
[18:02:41.348] epoch: 0/200, iter: 214/479: loss:0.5529: rank:-1
[18:03:08.443] epoch: 0/200, iter: 215/479: loss:0.5065: rank:-1
[18:03:35.801] epoch: 0/200, iter: 216/479: loss:0.6897: rank:-1
[18:04:03.118] epoch: 0/200, iter: 217/479: loss:0.5566: rank:-1
[18:04:06.218] epoch: 0/200, iter: 218/479: loss:1.1691: rank:-1
[18:04:33.625] epoch: 0/200, iter: 219/479: loss:0.7091: rank:-1
[18:05:01.188] epoch: 0/200, iter: 220/479: loss:0.6599: rank:-1
[18:05:28.706] epoch: 0/200, iter: 221/479: loss:0.523: rank:-1
[18:05:55.978] epoch: 0/200, iter: 222/479: loss:0.8031: rank:-1
[18:06:23.245] epoch: 0/200, iter: 223/479: loss:0.8639: rank:-1
[18:06:50.664] epoch: 0/200, iter: 224/479: loss:0.8373: rank:-1
[18:07:17.666] epoch: 0/200, iter: 225/479: loss:0.5596: rank:-1
[18:07:44.921] epoch: 0/200, iter: 226/479: loss:0.6076: rank:-1
[18:08:12.020] epoch: 0/200, iter: 227/479: loss:0.4857: rank:-1
[18:08:38.964] epoch: 0/200, iter: 228/479: loss:0.582: rank:-1
[18:09:06.154] epoch: 0/200, iter: 229/479: loss:0.5455: rank:-1
[18:09:33.264] epoch: 0/200, iter: 230/479: loss:0.5113: rank:-1
[18:10:00.055] epoch: 0/200, iter: 231/479: loss:0.5682: rank:-1
[18:10:26.691] epoch: 0/200, iter: 232/479: loss:0.5257: rank:-1
[18:10:54.045] epoch: 0/200, iter: 233/479: loss:0.517: rank:-1
[18:11:21.275] epoch: 0/200, iter: 234/479: loss:0.5319: rank:-1
[18:11:48.452] epoch: 0/200, iter: 235/479: loss:0.8425: rank:-1
[18:12:12.773] epoch: 0/200, iter: 236/479: loss:0.8322: rank:-1
[18:12:40.272] epoch: 0/200, iter: 237/479: loss:0.7548: rank:-1
[18:13:07.151] epoch: 0/200, iter: 238/479: loss:0.4694: rank:-1
[18:13:34.163] epoch: 0/200, iter: 239/479: loss:0.5517: rank:-1
[18:14:01.456] epoch: 0/200, iter: 240/479: loss:0.6186: rank:-1
[18:14:28.743] epoch: 0/200, iter: 241/479: loss:0.6328: rank:-1
[18:14:55.484] epoch: 0/200, iter: 242/479: loss:0.4935: rank:-1
[18:15:22.961] epoch: 0/200, iter: 243/479: loss:0.4893: rank:-1
[18:15:50.370] epoch: 0/200, iter: 244/479: loss:0.5318: rank:-1
[18:16:17.749] epoch: 0/200, iter: 245/479: loss:0.6954: rank:-1
[18:16:45.130] epoch: 0/200, iter: 246/479: loss:0.4865: rank:-1
[18:17:12.700] epoch: 0/200, iter: 247/479: loss:0.6654: rank:-1
[18:17:39.659] epoch: 0/200, iter: 248/479: loss:0.4937: rank:-1
[18:18:06.895] epoch: 0/200, iter: 249/479: loss:0.6264: rank:-1
[18:18:34.342] epoch: 0/200, iter: 250/479: loss:1.2733: rank:-1
[18:18:37.526] epoch: 0/200, iter: 251/479: loss:1.6164: rank:-1
[18:19:04.390] epoch: 0/200, iter: 252/479: loss:0.4305: rank:-1
[18:19:31.590] epoch: 0/200, iter: 253/479: loss:0.5194: rank:-1
[18:19:58.654] epoch: 0/200, iter: 254/479: loss:0.3722: rank:-1
[18:20:25.458] epoch: 0/200, iter: 255/479: loss:0.4984: rank:-1
[18:20:52.677] epoch: 0/200, iter: 256/479: loss:0.7168: rank:-1
[18:21:19.390] epoch: 0/200, iter: 257/479: loss:0.5907: rank:-1
[18:21:22.522] epoch: 0/200, iter: 258/479: loss:1.8049: rank:-1
[18:21:49.525] epoch: 0/200, iter: 259/479: loss:0.6069: rank:-1
[18:22:16.949] epoch: 0/200, iter: 260/479: loss:0.8001: rank:-1
[18:22:43.846] epoch: 0/200, iter: 261/479: loss:0.5633: rank:-1
[18:23:11.217] epoch: 0/200, iter: 262/479: loss:0.5556: rank:-1
[18:23:38.324] epoch: 0/200, iter: 263/479: loss:0.4202: rank:-1
[18:24:05.379] epoch: 0/200, iter: 264/479: loss:0.8457: rank:-1
[18:24:32.725] epoch: 0/200, iter: 265/479: loss:0.4977: rank:-1
[18:24:59.982] epoch: 0/200, iter: 266/479: loss:0.4888: rank:-1
[18:25:27.172] epoch: 0/200, iter: 267/479: loss:0.6607: rank:-1
[18:25:30.256] epoch: 0/200, iter: 268/479: loss:1.1493: rank:-1
[18:25:57.118] epoch: 0/200, iter: 269/479: loss:0.5925: rank:-1
[18:26:24.503] epoch: 0/200, iter: 270/479: loss:0.7604: rank:-1
[18:26:51.483] epoch: 0/200, iter: 271/479: loss:0.4861: rank:-1
