[15:59:39.170] Namespace(data='colon', save_dir='./implementation/colon/full', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_full.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='full')
[16:24:13.566] epoch: 0/200, iter: 151/3469: loss:0.5902: rank:-1
[16:24:30.579] epoch: 0/200, iter: 152/3469: loss:0.7463: rank:-1
[16:24:47.982] epoch: 0/200, iter: 153/3469: loss:0.8883: rank:-1
[16:24:49.966] epoch: 0/200, iter: 154/3469: loss:0.4892: rank:-1
[16:24:55.719] epoch: 0/200, iter: 155/3469: loss:1.0182: rank:-1
[16:24:57.649] epoch: 0/200, iter: 156/3469: loss:0.678: rank:-1
[16:24:59.578] epoch: 0/200, iter: 157/3469: loss:1.3467: rank:-1
[16:25:01.579] epoch: 0/200, iter: 158/3469: loss:0.6478: rank:-1
[16:25:03.452] epoch: 0/200, iter: 159/3469: loss:0.649: rank:-1
[16:25:08.917] epoch: 0/200, iter: 160/3469: loss:0.7581: rank:-1
[16:25:22.661] epoch: 0/200, iter: 161/3469: loss:1.6643: rank:-1
[16:25:24.619] epoch: 0/200, iter: 162/3469: loss:0.5152: rank:-1
[16:25:26.536] epoch: 0/200, iter: 163/3469: loss:0.4944: rank:-1
[16:25:43.213] epoch: 0/200, iter: 164/3469: loss:0.7611: rank:-1
[16:25:45.195] epoch: 0/200, iter: 165/3469: loss:0.5625: rank:-1
[16:25:49.108] epoch: 0/200, iter: 166/3469: loss:0.7889: rank:-1
[16:25:52.903] epoch: 0/200, iter: 167/3469: loss:0.9814: rank:-1
[16:25:54.908] epoch: 0/200, iter: 168/3469: loss:0.4842: rank:-1
[16:25:56.914] epoch: 0/200, iter: 169/3469: loss:0.4488: rank:-1
[16:25:58.806] epoch: 0/200, iter: 170/3469: loss:0.3675: rank:-1
[16:26:06.556] epoch: 0/200, iter: 171/3469: loss:0.7379: rank:-1
[16:26:08.474] epoch: 0/200, iter: 172/3469: loss:0.6464: rank:-1
[16:26:26.016] epoch: 0/200, iter: 173/3469: loss:0.7859: rank:-1
[16:26:29.984] epoch: 0/200, iter: 174/3469: loss:0.5749: rank:-1
[16:26:32.089] epoch: 0/200, iter: 175/3469: loss:0.4775: rank:-1
[16:27:06.738] epoch: 0/200, iter: 176/3469: loss:1.2635: rank:-1
[16:27:10.560] epoch: 0/200, iter: 177/3469: loss:1.4683: rank:-1
[16:27:20.551] epoch: 0/200, iter: 178/3469: loss:1.5712: rank:-1
[16:27:22.643] epoch: 0/200, iter: 179/3469: loss:1.3846: rank:-1
[16:27:51.026] epoch: 0/200, iter: 180/3469: loss:1.0764: rank:-1
[16:27:56.793] epoch: 0/200, iter: 181/3469: loss:0.9859: rank:-1
[16:28:13.713] epoch: 0/200, iter: 182/3469: loss:1.0183: rank:-1
[16:28:15.577] epoch: 0/200, iter: 183/3469: loss:0.7928: rank:-1
[16:28:32.489] epoch: 0/200, iter: 184/3469: loss:0.908: rank:-1
[16:28:34.443] epoch: 0/200, iter: 185/3469: loss:0.7172: rank:-1
[16:28:51.650] epoch: 0/200, iter: 186/3469: loss:0.9198: rank:-1
[16:29:05.339] epoch: 0/200, iter: 187/3469: loss:0.8886: rank:-1
[16:29:42.902] epoch: 0/200, iter: 188/3469: loss:1.0475: rank:-1
[16:29:45.801] epoch: 0/200, iter: 189/3469: loss:0.6446: rank:-1
[16:29:54.923] epoch: 0/200, iter: 190/3469: loss:0.8276: rank:-1
[16:29:57.885] epoch: 0/200, iter: 191/3469: loss:0.6147: rank:-1
[16:30:00.904] epoch: 0/200, iter: 192/3469: loss:0.6169: rank:-1
[16:30:06.970] epoch: 0/200, iter: 193/3469: loss:0.7784: rank:-1
[16:30:09.980] epoch: 0/200, iter: 194/3469: loss:0.5715: rank:-1
[16:30:16.033] epoch: 0/200, iter: 195/3469: loss:0.7953: rank:-1
[16:30:18.992] epoch: 0/200, iter: 196/3469: loss:0.5308: rank:-1
[16:30:22.002] epoch: 0/200, iter: 197/3469: loss:0.5277: rank:-1
[16:30:25.071] epoch: 0/200, iter: 198/3469: loss:0.5392: rank:-1
[16:30:34.301] epoch: 0/200, iter: 199/3469: loss:1.3641: rank:-1
[16:31:25.819] epoch: 0/200, iter: 200/3469: loss:0.833: rank:-1
[16:31:38.060] epoch: 0/200, iter: 201/3469: loss:0.7476: rank:-1
[16:31:44.031] epoch: 0/200, iter: 202/3469: loss:0.638: rank:-1
[16:31:47.088] epoch: 0/200, iter: 203/3469: loss:0.5319: rank:-1
[16:31:53.302] epoch: 0/200, iter: 204/3469: loss:1.0964: rank:-1
[16:31:56.379] epoch: 0/200, iter: 205/3469: loss:1.2254: rank:-1
[16:31:59.463] epoch: 0/200, iter: 206/3469: loss:1.7935: rank:-1
[16:32:02.515] epoch: 0/200, iter: 207/3469: loss:2.3484: rank:-1
[16:32:05.596] epoch: 0/200, iter: 208/3469: loss:1.3225: rank:-1
[16:33:15.470] epoch: 0/200, iter: 209/3469: loss:0.7784: rank:-1
[16:33:18.628] epoch: 0/200, iter: 210/3469: loss:1.0796: rank:-1
[16:33:21.669] epoch: 0/200, iter: 211/3469: loss:0.5311: rank:-1
[16:33:34.074] epoch: 0/200, iter: 212/3469: loss:1.8948: rank:-1
[16:33:37.159] epoch: 0/200, iter: 213/3469: loss:0.9185: rank:-1
[16:33:52.492] epoch: 0/200, iter: 214/3469: loss:0.8957: rank:-1
[16:34:46.490] epoch: 0/200, iter: 215/3469: loss:0.7325: rank:-1
[16:35:01.846] epoch: 0/200, iter: 216/3469: loss:1.3495: rank:-1
[16:35:04.892] epoch: 0/200, iter: 217/3469: loss:1.2031: rank:-1
[16:35:07.920] epoch: 0/200, iter: 218/3469: loss:0.911: rank:-1
[16:35:32.182] epoch: 0/200, iter: 219/3469: loss:1.235: rank:-1
[16:35:35.205] epoch: 0/200, iter: 220/3469: loss:0.3411: rank:-1
[16:35:38.232] epoch: 0/200, iter: 221/3469: loss:0.9451: rank:-1
[16:35:41.243] epoch: 0/200, iter: 222/3469: loss:0.4426: rank:-1
[16:36:08.657] epoch: 0/200, iter: 223/3469: loss:0.9959: rank:-1
[16:36:11.702] epoch: 0/200, iter: 224/3469: loss:0.4365: rank:-1
[16:37:30.054] epoch: 0/200, iter: 225/3469: loss:0.5982: rank:-1
[16:37:39.305] epoch: 0/200, iter: 226/3469: loss:1.0367: rank:-1
[16:37:42.354] epoch: 0/200, iter: 227/3469: loss:1.3187: rank:-1
[16:38:27.886] epoch: 0/200, iter: 228/3469: loss:0.962: rank:-1
[16:38:30.927] epoch: 0/200, iter: 229/3469: loss:0.6192: rank:-1
[16:38:33.924] epoch: 0/200, iter: 230/3469: loss:1.5661: rank:-1
[16:39:01.233] epoch: 0/200, iter: 231/3469: loss:1.059: rank:-1
[16:39:04.349] epoch: 0/200, iter: 232/3469: loss:1.0708: rank:-1
[16:39:07.395] epoch: 0/200, iter: 233/3469: loss:0.7101: rank:-1
[16:39:10.452] epoch: 0/200, iter: 234/3469: loss:0.5716: rank:-1
[16:39:19.715] epoch: 0/200, iter: 235/3469: loss:1.1918: rank:-1
[16:39:32.034] epoch: 0/200, iter: 236/3469: loss:1.2337: rank:-1
